dataset_name,image_category,mode,feature_algo,failure_reason,possible_cause,suggested_solution
07_large_parallax/set_large_parallax_1,07_large_parallax,baseline,,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'.","Feature matching, camera estimation or blending failed.","Use images with more overlap, richer texture, and stable camera rotation."
07_large_parallax/set_large_parallax_3,07_large_parallax,baseline,,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'.","Feature matching, camera estimation or blending failed.","Use images with more overlap, richer texture, and stable camera rotation."
09_failure_cases/set_failure_1,09_failure_cases,baseline,,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'.","Low overlap, smooth regions, repeated texture or moving objects.","Use images with more overlap, richer texture, and stable camera rotation."
10_self_captured_demo/set_self_demo_1,10_self_captured_demo,baseline,,Need at least two images.,Image group has fewer than two readable images.,"Use images with more overlap, richer texture, and stable camera rotation."
10_self_captured_demo/set_self_demo_2,10_self_captured_demo,baseline,,Need at least two images.,Image group has fewer than two readable images.,"Use images with more overlap, richer texture, and stable camera rotation."
10_self_captured_demo/set_self_demo_3,10_self_captured_demo,baseline,,Need at least two images.,Image group has fewer than two readable images.,"Use images with more overlap, richer texture, and stable camera rotation."
07_large_parallax/set_large_parallax_3,07_large_parallax,improved,,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'.","Feature matching, camera estimation or blending failed.","Use images with more overlap, richer texture, and stable camera rotation."
09_failure_cases/set_failure_1,09_failure_cases,improved,,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'.","Low overlap, smooth regions, repeated texture or moving objects.","Use images with more overlap, richer texture, and stable camera rotation."
10_self_captured_demo/set_self_demo_1,10_self_captured_demo,improved,,Need at least two images.,Image group has fewer than two readable images.,"Use images with more overlap, richer texture, and stable camera rotation."
10_self_captured_demo/set_self_demo_2,10_self_captured_demo,improved,,Need at least two images.,Image group has fewer than two readable images.,"Use images with more overlap, richer texture, and stable camera rotation."
10_self_captured_demo/set_self_demo_3,10_self_captured_demo,improved,,Need at least two images.,Image group has fewer than two readable images.,"Use images with more overlap, richer texture, and stable camera rotation."
06_repetitive_texture/set_repetitive_2,06_repetitive_texture,feature_experiment,akaze,"Invalid Contour. Run with --no-crop (using the stitch interface), crop=false (using the stitcher class) or Cropper(False) (using the cropper class)","Feature matching, camera estimation or blending failed.","Try SIFT/AKAZE, lower resize width less aggressively, or add more overlap."
07_large_parallax/set_large_parallax_3,07_large_parallax,feature_experiment,sift,Rectangles do not overlap!,"Feature matching, camera estimation or blending failed.","Try SIFT/AKAZE, lower resize width less aggressively, or add more overlap."
07_large_parallax/set_large_parallax_3,07_large_parallax,feature_experiment,orb,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'.","Feature matching, camera estimation or blending failed.","Try SIFT/AKAZE, lower resize width less aggressively, or add more overlap."
07_large_parallax/set_large_parallax_3,07_large_parallax,feature_experiment,akaze,"No match exceeds the given confidence threshold. Do your images have enough overlap and common features? If yes, you might want to lower the 'confidence_threshold' or try another 'detector'.","Feature matching, camera estimation or blending failed.","Try SIFT/AKAZE, lower resize width less aggressively, or add more overlap."
10_self_captured_demo/set_self_demo_1,10_self_captured_demo,feature_experiment,all,Need at least two images.,Image group has fewer than two readable images.,"Try SIFT/AKAZE, lower resize width less aggressively, or add more overlap."
10_self_captured_demo/set_self_demo_2,10_self_captured_demo,feature_experiment,all,Need at least two images.,Image group has fewer than two readable images.,"Try SIFT/AKAZE, lower resize width less aggressively, or add more overlap."
10_self_captured_demo/set_self_demo_3,10_self_captured_demo,feature_experiment,all,Need at least two images.,Image group has fewer than two readable images.,"Try SIFT/AKAZE, lower resize width less aggressively, or add more overlap."
